PMID,Title,Authors,Journal,Year,Journal_Year,Abstract
36264763,Forgetting rate for the familiarity and recollection components of recognition in amnestic mild cognitive impairment: A longitudinal study.,Maria Stefania De Simone; Maria Giovanna Lombardi; Massimo De Tollis; Roberta Perri; Lucia Fadda; Carlo Caltagirone; Giovanni Augusto Carlesimo,Applied neuropsychology. Adult,2022,2024,"Here we aimed to investigate the rate of forgetting of the familiarity and recollection components of recognition in patients at the onset of medial temporal lobe (MTL) pathology and destined to convert to Alzheimer's disease (AD). For this purpose, we conducted a longitudinal study of 13 patients who were diagnosed with amnestic mild cognitive impairment (a-MCI) at the first assessment and followed-up for 3 years. During this time, five patients converted to AD and eight remained in a stable condition of cognitive impairment. A group of 15 healthy subjects were enrolled as the control group (HC). In order to separately quantify the contribution of recollection and familiarity to recognition memory performance, the experimental sample was submitted to a modified version of Huppert and Piercy's procedure that included a Remember/Know paradigm. Data demonstrated that both stable and converter a-MCI patients forgot memory traces relative to the familiarity components of recognition at the same rate as HC. Conversely, converter a-MCI patients showed accelerated long-term forgetting specifically for the recollection component of recognition compared to stable a-MCI and HC. This is the first empirical demonstration that familiarity and recollection components of declarative memory are subject to different rates of forgetting in a-MCI patients as a function of their longitudinal clinical outcome. Our finding of accelerated long-term forgetting of the recollection component of recognition disclosed by converter a-MCI patients suggests that atrophy in the MTL not only interferes with the storage aspects but also disrupts the consolidation of memory traces."
36121098,"The Bender Gestalt Test is useful for clinically diagnosing dementia with Lewy bodies: Analysis of its sensitivity, specificity, and clinical characteristics of the figure copy.",Norio Murayama; Kazumi Ota; Eizo Iseki,Applied neuropsychology. Adult,2022,2024,"A previous study that evaluated the ability of the Bender Gestalt Test (BGT) to discriminate between dementia with Lewy bodies (DLB) and Alzheimer's disease (AD) suggested that a total score of 98 is the optimal cutoff value for discriminating between these two diseases and that DLB tends to exhibit unique errors; i.e., ""element deformation"" and ""gestalt destruction."" The objectives of the present study were: (1) to examine the sensitivity and specificity of a total BGT score of 98 as a cutoff value in greater numbers of DLB patients than in the previous study, (2) to set a new cutoff value if a cutoff value of 98 is not optimal, and (3) to clarify the frequency of element deformation and gestalt destruction in DLB patients. The participants were 133 DLB patients, 65 AD patients, and 30 cognitively normal elderly people. All of the participants underwent the Mini-Mental State Examination, BGT, and brain magnetic resonance imaging. As a result, the total BGT score cutoff value of 98 showed low sensitivity (0.58), and a cutoff value of 84 was indicated to be the optimal cutoff value for discriminating between DLB and AD. In addition, 32 out of 133 DLB patients and one out of 65 AD patients exhibited element deformation or gestalt destruction. This study suggested that the BGT is a useful neuropsychological test for differentiating DLB from AD. In addition, the need to evaluate the spatial and perceptual difficulties of DLB patients with various types of visual stimulation is also discussed."
36089915,"The Moroccan MoCA test: Translation, cultural adaptation, and validation.",Noumidia Khatib; Ibtissam El Harch; Abdelaziz Lamkaddem; Lahcen Omari; Nourdine Attiya; Younes Filali-Zegzouti; Samira El Fakir; Abdelkrim Janati Idrissi; Zouhayr Souirti,Applied neuropsychology. Adult,2022,2024,"Dementia includes all the symptoms associated with declining mental and cognitive skills, resulting in an inability to perform daily activities. We aimed to translate and adapt the Montréal Cognitive Assessment (MoCA) test into the Moroccan cultural context. We compared the sensitivity and specificity between MoCA and Mini-Mental State of Folstein (MMS) in the screening of dementia. The participants in this study were residents in the Fez-Meknes region and over 50 years old. We performed translation and adaptation of the English MoCA 8.1 version into all Moroccan languages: Darija, Tamazight in its three variants (Tachelhit, Tarifit, Atlas Tamazight), and Arabic. We validated Moroccan MoCA according to the Beaton et al. instructions. The sensitivity, specificity, and alpha Cronbach of the MoCA test were 88.5, 93.8%, and 0.87, while they were 90.2, 90.8%, and 0.79 for the MMS test. The Moroccan MoCA test had high sensitivity, specificity, and internal reliability compared to the MMS test. The availability of the MoCA in the Moroccan language will be helpful in the screening of dementia and research studies in Morocco and other countries."
35984776,Source recognition discriminability impairment in Huntington's versus Alzheimer's disease: Evidence from the CVLT-3.,Lisa V Graves; Emma G Churchill; McKenna E Williams; Emily J Van Etten; Mark W Bondi; David P Salmon; Jody Corey-Bloom; Dean C Delis; Paul E Gilbert,Applied neuropsychology. Adult,2022,2024,"Research suggests that individuals with Huntington's disease (HD) perform better than individuals with Alzheimer's disease (AD) on the California Verbal Learning Test (CVLT) Yes/No Recognition trial. However, those with HD have been shown to have deficits comparable to those with AD on the Source Recognition Discriminability (RD) index (which assesses the ability to distinguish between List A targets and List B distractors), suggesting that HD may involve selective impairment in aspects of yes/no recognition that rely on source memory. However, whether individuals with HD and AD show comparable deficits on Source RD across stages of dementia severity has not been adequately investigated. We examined performance on the CVLT-3 List A vs. List B RD index in individuals with HD or AD and mild or moderate dementia. Among individuals with mild dementia, scores were higher in the HD versus AD group, whereas among individuals with moderate dementia, scores were comparable between the HD and AD groups; this corresponded to differential performance across dementia stages among individuals with HD, but not AD. The present findings suggest that, relative to AD, HD may be associated with disproportionate decline in aspects of yes/no recognition that rely on source memory."
35961506,The CORCOBIA study: Cut-off points of Alzheimer's disease CSF biomarkers in a clinical cohort.,A Puig-Pijoan; G García-Escobar; A Fernández-Lebrero; R M Manero-Borràs; G Sánchez-Benavides; I Navalpotro-Gómez; D Cascales Lahoz; M Suárez-Calvet; O Grau-Rivera; A Boltes Alandí; M C Pont-Sunyer; J Ortiz-Gil; S Carrillo-Molina; D López-Villegas; M T Abellán-Vidal; M I Martínez-Casamitjana; J J Hernández-Sánchez; J Peña-Casanova; J Roquer; A Padrós Fluvià; V Puente-Périz,Neurologia,2022,2024,"The analysis of the core biomarkers of Alzheimer's Disease (AD) in the cerebrospinal fluid (CSF) is recommended in the clinical units where it is available. Because of the absence of universal validated values, the determination of specific cut-off points for each center and its population is recommended. The main objective of the CORCOBIA study was to determine the cut-off points of core AD CSF biomarkers for several centers (Parc de Salut Mar, Barcelona and Hospital General de Granollers), which work with the same reference laboratory (Laboratori de Referència de Catalunya). Prospective study including cognitively unimpaired individuals (CU, n = 42), subjects with amnestic mild cognitive impairment (aMCI, n = 35) and patients with dementia due to Alzheimer's Disease (AD, n = 48), in whom clinical and neuropsychological assessment, neuroimaging, APOE genotyping and lumbar puncture to analyse amyloid beta peptides (Aβ42, Aβ40), total tau (tTau) and phosphorylated Tau (pTau181) using the Lumipulse G600II (Fujirebio) was performed. The values of sensitivity (SE), specificity (SP), predictive values and area under the curve (AUC) were calculated, determining the cut-off point according to the Youden index by comparing the CU and AD groups. The resulting cut-offs and their AUC were the following: Aβ42 750 pg/mL (AUC 0.809); Aβ42/Aβ40 0.062 (AUC 0.78); pTau181 69.85 pg/mL (AUC 0.81); tTau 522.0 pg/mL (AUC 0.79); Aβ42/tTau 1.76 (AUC 0.86); Aβ42/pTau181 10.25 (AUC 0.86). The determination of cut-off points of core AD CSF biomarkers for the participating centers allows a better diagnostic accuracy. The ratio CSF Aβ42/pTau181 shows the highest AUC and better balance between sensitivity and specificity."
37338307,Hydrogen sulfide signalling in neurodegenerative diseases.,Sunil Jamuna Tripathi; Suwarna Chakraborty; Emiko Miller; Andrew A Pieper; Bindu D Paul,British journal of pharmacology,2023,2026,"The gaseous neurotransmitter hydrogen sulfide (H<sub>2</sub>S) exerts neuroprotective efficacy in the brain via post-translational modification of cysteine residues by sulfhydration, also known as persulfidation. This process is comparable in biological impact to phosphorylation and mediates a variety of signalling events. Unlike conventional neurotransmitters, H<sub>2</sub>S cannot be stored in vesicles due to its gaseous nature. Instead, it is either locally synthesized or released from endogenous stores. Sulfhydration affords both specific and general neuroprotective effects and is critically diminished in several neurodegenerative disorders. Conversely, some forms of neurodegenerative disease are linked to excessive cellular H<sub>2</sub>S. Here, we review the signalling roles of H<sub>2</sub>S across the spectrum of neurodegenerative diseases, including Huntington's disease, Parkinson's disease, Alzheimer's disease, Down syndrome, traumatic brain injury, the ataxias, and amyotrophic lateral sclerosis, as well as neurodegeneration generally associated with ageing. LINKED ARTICLES: This article is part of a themed issue Recent Innovations in Targeting Redox Biology for Therapeutics. To view the other articles in this section visit http://onlinelibrary.wiley.com/doi/10.1111/bph.v183.1/issuetoc."
39104171,Gamma-type immunoglobulin enhances phagocytosis of amyloid-beta fibrils by microglia.,Tian Zhou; Yue Zhong; Shoujun Yu; Ruibing Sun; Zhenwei Zhang; Xiaoyan Du; Simon Ming-Yuen Lee; Zhitong Chen; Weiming Tian; Yuxiao Lai; Bing Song; Yiming Zheng; Zhen Xu,Neural regeneration research,2024,2026,No abstract available
38661359,The Impact of the Apolipoprotein E Genotype on Cardiovascular Disease and Cognitive Disorders.,Matthew W McMaster; Avisha Shah; John Kangarlu; Ryan Cheikhali; William H Frishman; Wilbert S Aronow,Cardiology in review,2024,2026,"Apolipoprotein E (ApoE) plays a critical role in cholesterol transport and protection against the development of atherosclerotic cardiovascular disease (ASCVD). Humans have 3 prevalent isoforms of ApoE: apolipoprotein E2 (ApoE2), apolipoprotein E3 (ApoE3), and apolipoprotein E4 (ApoE4). The E4 allele has been associated with higher ASCVD risk. While E4 patients do have higher cholesterol levels, they do not have enough to account for the substantially elevated ASCVD risk relative to E2 and E3 patients. ASCVD risk calculators would underestimate the true effect of E4 if the difference was caused entirely by a difference in cholesterol level. This article reviews the function of ApoE in atherosclerosis, and how each isoform functions differently. We review what is known about the molecular mechanisms through which ApoE prevents endothelial dysfunction and damage, how ApoE stimulates macrophage efflux of cholesterol from atherogenic lesions, and the ways in which ApoE decreases inflammation throughout atherosclerosis. The impact of ApoE on Alzheimer's disease and a discussion of why it is possibly unrelated to ASCVD prevention are included. Clinical applications to hyperlipidemia management and ASCVD prevention in specific patient populations are discussed."
38697016,Portuguese Caregivers of Persons With Alzheimer's Disease in the Context of the COVID-19 Pandemic: A Qualitative Study of the Grieving Process.,Laura Brito; Ana Cristina Bernardo; Ângela Leite; M Graça Pereira,Omega,2024,2026,"This study addresses the experiences of informal caregivers caring for elderly family members with Alzheimer's disease (AD) during the COVID-19 pandemic. The study includes a sample of eight informal caregivers who were evaluated through a semi-structured interview six months after the death of a loved one they cared for. A thematic content analysis was applied to the interviews and yielded two higher-order domains: (1) Experiencing the AD and the death of a family member and (2) The grieving process during the COVID-19 pandemic. The results provide valuable insights into family caregivers' experiences regarding the profound emotional impact of caregiving and grief during the COVID-19 pandemic. Caregivers maintain their identity even after loss, underscoring the enduring impact of caregiving. The identity as a caregiver impacted coping and grief responses, highlighting the need for tailored interventions."
42272485,Endogenous iron biomineralization in the mouse spleen of metabolic diseases.,Ruowen Guo; Lei Zhang; Dongsheng Song; Biao Yu; Chao Song; Hanxiao Chen; Wenjing Xie; Chuanlin Feng; Guofeng Cheng; Kejun Hu; Jialiang Jiang; Zhe Qu; Haifeng Du; Xin Zhang,Fundamental research,2024,2026,"As the most abundant essential trace element in our human bodies, iron plays essential roles in multiple physiological and pathological conditions, including oxygen transport, cancer, diabetes, Alzheimer's and Parkinson's diseases. Although it has been shown that iron can form particles in some bacteria, migrating birds and fish, whether iron biomineralization can also occur in mammals is still debated. Here we demonstrate that iron metabolism abnormalities in diseased mice can directly lead to endogenous iron biomineralization and particle formation in the spleen. Excessive iron accumulation leads to endogenous particle formation with an averaged size of ∼800 nm. In the spleens of severely diabetic mice, they accumulate in the red pulp region, where the red blood cells are recycled. This directly changes the magnetic property of the spleens and results in spleen damage in a gradient high magnetic field. Therefore, our findings not only demonstrate the existence of endogenous iron biomineralization in metabolic diseases, but also set up a direct link among iron accumulation, magnetic property and magnetic responses of animal organs, which may also be applied in other iron metabolism-related diseases including cancer and Alzheimer's disease."
41920139,Exploring natural phenolic compounds as amyloid-beta fibril inhibitors: computational insights for Alzheimer's disease.,Rakibul Islam; Devendra Kumar Dhaked,Journal of biomolecular structure & dynamics,2024,2026,"Alzheimer's disease (AD) is a progressive neurodegenerative disorder and remains one of the leading causes of death in older age. While there is no direct cure for AD, very few FDA-approved drugs are available for managing the symptoms by targeting traditional targets. Amyloid-beta (Aß) peptides were identified as a crucial target for AD therapy, in recent times, phenolic compounds have shown the potential to inhibit Amyloid-beta peptide. These phenolic compounds destabilize Aß aggregation, but their inhibition mechanisms are not clearly understood. In this study, we thoroughly explored the molecular binding mechanism of >1000 phenolic compounds with the Aß fibrils <i>via</i> extra precision (XP) and induced fit docking (IFD) methods. Additionally, molecular dynamics (MD) simulations of the top 10 druglike phenolic compounds were performed with a simulation time of 500 nanoseconds (ns). Our results showed that two promising compounds, Rhapontigenin and Okanin, exhibited superior binding free energy and stability compared to the reference apigenin. These compounds effectively disrupted the Asp23-Lys28 salt bridge interactions and hydrogen bond patterns in the Aß fibril. Furthermore, both the identified compounds showed significant van der Waal's interaction with the Aß fibril. Our findings align with the previous studies and provide additional insights into inhibitory mechanisms at the molecular level. Additionally, this study incorporates analysis of non-covalent interactions and DFT studies to further elucidate the mechanisms. Nevertheless, it is crucial to emphasize that these results are based on <i>in silico</i> analyses and necessitate further experimental validation through <i>in vitro</i> and <i>in vivo</i> studies to confirm their efficacy."
39672098,Investigating the potential of novel thiazole derivatives in treating Alzheimer's and Parkinson's diseases.,Abd Al Rahman Asfour; Asaf Evrim Evren; Begüm Nurpelin Sağlık Özkan; Leyla Yurttaş,Journal of biomolecular structure & dynamics,2024,2026,"The study aimed to investigate 12 novel thiazole compounds in the treatment of neurodegenerative disorders. The compounds produced were evaluated for their inhibitory efficacy against acetylcholinesterase (AChE), butyrylcholinesterase (BChE), and monoamine oxidases (MAOs). Among the compounds, <b>5d</b>, <b>5e</b>, and <b>5j</b> showed the highest AChE inhibitory activity. The IC<sub>50</sub> values for compounds are 0.223 ± 0.010 µM, 0.092 ± 0.003 µM, and 0.054 ± 0.002 µM, respectively. In addition, molecular docking analyses and molecular dynamic simulation were used to examine the interactions of these compounds with protein sites. The results suggest that thiazole-ring compounds could serve as a promising basis for the development of drugs aimed at treating neurodegenerative diseases (NDD), caused by Parkinson's and Alzheimer's diseases."
39435954,Machine learning-based screening for outpatients with dementia using drawing features from the clock drawing test.,Akira Masuo; Junpei Kubota; Katsuhiko Yokoyama; Kaori Karaki; Hiroyuki Yuasa; Yuki Ito; Jun Takeo; Takuto Sakuma; Shohei Kato,The Clinical neuropsychologist,2024,2026,"<b>Background and Objectives:</b> In geriatrics and dementia care, early diagnosis is crucial. We developed a dementia screening model using drawing features from clock drawing tests (CDT) and investigated the features contributing to the discrimination of dementia and its screening performance. <b>Methods:</b> This study included 129 older adults attending a dementia outpatient clinic. We obtained information on the diagnosis of dementia and CDT data from medical records and quantified 12 types of drawing features according to the Freedman scoring system. Based on the dementia diagnosis information, participants were assigned to two groups: 58 in the dementia diagnosis group and 71 in the non-diagnosis group. Using Boruta, an iterative feature selection algorithm, and a support vector machine, a machine learning method, we analyzed the drawing features contributing to dementia discrimination and evaluated discrimination performance. <b>Results:</b> Five types of drawing features were selected as contributors to discrimination, including ""numbers in the correct position,"" ""minute target number indicated,"" and ""hand in correct proportion."" These features exhibited a discriminating sensitivity of 0.74 ± 0.16 and specificity of 0.74 ± 0.18 for detecting dementia. <b>Conclusion:</b> This study demonstrated a method for identifying individuals likely to be diagnosed with dementia among patients attending a dementia outpatient clinic using drawing features. The knowledge of drawing features contributing to dementia differentiation may assist healthcare practitioners in clinical reasoning and provide novel insights for clinical practice. In the future, we plan to develop a primary screening for dementia based on machine learning using CDT."
