PMID,Title,Authors,Journal,Year,Journal_Year,Abstract
35931087,Neurocognitive functioning of patients with early-stage Parkinson's disease.,Anna Theresa Magnante; Anna Shirokova Ord; Jamie A Holland; Scott W Sautter,Applied neuropsychology. Adult,2022,2024,"Parkinson's disease (PD) is a neurological disorder commonly associated with motor deficits. However, cognitive impairment is also common in patients with PD. Cognitive concerns in PD may affect multiple domains of neurocognition and vary across different stages of the disease. Extant research has focused mainly on cognitive deficits in middle to late stages of PD, whereas few studies have examined the unique cognitive profiles of patients with early-stage PD. This study addressed this gap in the published literature and examined neurocognitive functioning and functional capacity of patients with de novo PD, focusing on the unique pattern of cognitive deficits specific to the early stage of the disease. Results indicated that the pattern of cognitive deficits in patients with PD (<i>n</i> = 55; mean age = 72.93) was significantly different from healthy controls (<i>n</i> = 59; mean age = 71.88). Specifically, tasks related to executive functioning, attention, and verbal memory demonstrated the most pronounced deficits in patients with early-stage PD. Clinical implications of these findings are discussed."
35689301,Impaired processing of conspecifics in Parkinson's disease.,Luca Piretti; Sonia Di Tella; Maria Rita Lo Monaco; Valentina Delle Donne; Raffaella Ida Rumiati; Maria Caterina Silveri,Applied neuropsychology. Adult,2022,2024,"Experimental evidence indicates that the inferior frontal gyrus (IFG) processes emotional/affective features crucial to elaborate knowledge about social groups and that knowledge of social concepts is stored in the anterior temporal lobe (ATL).We investigated whether knowledge about social groups is impaired in Parkinson's disease (PD), in which dysfunctional connectivity between IFG and ATL has been demonstrated.PD patients (<i>N</i> = 20) and healthy controls (HC, <i>N</i> = 16) were given a lexical decision task in a semantic priming paradigm: the prime-targets included 144 words and 144 pseudowords, each preceded by three types of prime (""animals,"" ""things,"" ""persons""). Out of these 288 prime-targets, forty-eight were congruent (same category) and 96 incongruent (different category). Out of 48 congruent prime-targets, 24 denoted social items and 24 nonsocial items. Thus, four types of trials were obtained: congruent social; congruent nonsocial; incongruent social; incongruent nonsocial.Congruent target-words were recognized better than incongruent target-words by all groups. The semantic priming effect was preserved in PD; however, accuracy was significantly lower in PD than in HC in social items. No difference emerged between the two groups in nonsocial items.Impaired processing of words denoting social groups in PD may be due to impairment in accessing the affective/emotional features that characterize conceptual knowledge of social groups, for the functional disconnection between the IFG and the ATL."
35393167,Effects of Age and Parkinson's Disease on the Relationship between Vocal Fold Abductory Kinematics and Relative Fundamental Frequency.,Jennifer M Vojtech; Cara E Stepp,Journal of voice : official journal of the Voice Foundation,2022,2024,"This study reports on two experiments to examine vocal fold abduction and its relationship with relative fundamental frequency (RFF), considering two attributes that have been shown to elicit group differences in RFF: age (Experiment 1) and Parkinson's disease (PD; Experiment 2). For both experiments, simultaneous acoustic and nasendoscopic recordings were collected as participants produced the utterance, /ifi/. RFF values were computed from the acoustic signal, whereas abduction duration and glottic angle at voicing offset were identified from the laryngoscopic images. In Experiment 1, 50 speakers with typical voices (18-83 years) were analyzed to examine (1A) the effects of speaker age on individual outcome measures (RFF, abduction duration, glottic angle) via Pearson's correlation coefficients, and (1B) the effects of abductory measures and age on RFF via an analysis of covariance. In Experiment 2, 20 speakers with PD and 20 matched controls were analyzed to examine (2A) the effects of group (with/without PD) on outcome measures via an analysis of variance, and (2B) the relationship of RFF with abduction duration, glottic angle, and age when considering group via an analysis of covariance. Age demonstrated a significant, negative relationship with glottic angle (1A) but was not a significant factor when examining the relationship of vocal fold abduction and RFF (1B). Speaker group (with/without PD) demonstrated a significant effect on measures of RFF and abduction duration (2A) but was not a significant factor when examining the relationship of vocal fold abduction and RFF (2B). RFF is sensitive to changes in vocal fold abductory patterns during devoicing, irrespective of speaker age or PD status."
36514978,Implications of p53 in mitochondrial dysfunction and Parkinson's disease.,Yi-Fan Wang; Ying-Di Wang; Song Gao; Wei Sun,The International journal of neuroscience,2022,2024,"<b>Purpose:</b> To study the underlying molecular mechanisms of p53 in the mitochondrial dysfunction and the pathogenesis of Parkinson's disease (PD), and provide a potential therapeutic target for PD treatment. <b>Methods:</b> We review the contributions of p53 to mitochondrial changes leading to apoptosis and the subsequent degeneration of dopaminergic neurons in PD. <b>Results:</b> P53 is a multifunctional protein implicated in the regulation of diverse cellular processes via transcription-dependent and transcription-independent mechanisms. Mitochondria are vital subcellular organelles for that maintain cellular function, and mitochondrial defect and impairment are primary causes of dopaminergic neuron degeneration in PD. Increasing evidence has revealed that mitochondrial dysfunction-associated dopaminergic neuron degeneration is tightly regulated by p53 in PD pathogenesis. Neurodegenerative stress triggers p53 activation, which induces mitochondrial changes, including transmembrane permeability, reactive oxygen species production, Ca2+ overload, electron transport chain defects and other dynamic alterations, and these changes contribute to neurodegeneration and are linked closely with PD occurrence and development. P53 inhibition has been shown to attenuate mitochondrial dysfunction and protect dopaminergic neurons from degeneration under conditions of neurodegenerative stress. <b>Conclusions:</b> p53 appears to be a potential target for neuroprotective therapy of PD."
36453937,"Pharmacological approach using doxycycline and tocopherol in rotenone induced oxidative stress, neuroinflammation and Parkinson's like symptoms.",Shamsher Singh; Kanupriya Chauhan,The International journal of neuroscience,2022,2024,"Parkinson's disease (PD) is a second most common neurodegenerative disorder characterized by the selective and progressive degeneration of dopaminergic neurons in substantia nigra pars compacta. Rotenone is a neurotoxin which selectively degenerate dopaminergic neurons in striatum, leading to cause PD like symptoms. Rotenone was administered at a dose of 1.5 mg/kg, i.p. from day 1 to day 40. Treatment with doxycycline (50 and 100 mg/kg, p.o), tocopherol (5 mg and 10 mg/kg, p.o) alone, doxycycline (50 mg/kg, p.o) in combination with tocopherol (10 mg/kg, p.o), and ropinirole (0.5 mg/kg, i.p.) was given for 40 days 1 h prior to administration of rotenone. All behavioral parameters were analyzed on weekly basis. On day 41, animals were sacrificed and the striatum region was isolated for neurotransmitters estimation (dopamine, serotonin, norepinephrine, GABA and glutamate), biochemical analysis (GSH, nitrite, LPO, mitochondrial complexes I and IV), inflammatory markers estimation (IL-6, IL-1β and TNF-α) and activity of MAO-A, MAO-B. Doxycycline and tocopherol in combination significantly attenuated behavioral, neurotransmitters and biochemical alterations induced by rotenone in experimental rats as compared to alone treatment with DOX and TOCO. Similarly, DOX and TOCO combination significantly reduced the level of inflammatory markers, prevented the biochemical changes, decreased MAO-A and MAO-B and improved complex-I, complex-IV, cAMP levels significantly. The current study revealed that a combination of doxycycline with tocopherol contributed to the prevention of PD like symptoms in rats by antioxidant, anti-inflammatory, MAO inhibitory and neuromodulatory mechanisms."
36271968,"Outcomes in Infants with Supraventricular Tachycardia: Risk Factors for Readmission, Recurrence and Ablation.",Daniel Vari; Nicholas Kurek; Huaiyu Zang; Jeffrey B Anderson; David S Spar; Richard J Czosek,Pediatric cardiology,2022,2024,"Supraventricular tachycardia (SVT) is the most common arrhythmia in infants. Once diagnosed, infants are admitted for antiarrhythmic therapy and discharged after observation. There are limited data on risk factors for readmission and readmission rates, while on medication. The objective of this study was to investigate risk factors for readmission and outcomes in infants diagnosed with SVT. This is a single-center retrospective study over a 10-year period of infants under 6 months of age with documented SVT. Infants with congenital heart disease requiring surgical or catheter intervention, gestational age less than 32 weeks or diagnosis of atrial flutter or fibrillation were excluded. The primary outcome was readmission within 31 days of hospital discharge. Long term need for ablation and eventual discontinuation of medications were assessed. Ninety patients were included. Beta blockers were the initial therapy in 66 and 28 required a medication change. Nineteen were readmitted within 31 days of discharge. The only clinical factor associated with early readmission was presence of ventricular pre-excitation (6/19 vs. 8/71, p = 0.03). Patients who were readmitted within 31 days had a longer length of treatment (12 [11.5, 22.0] vs. 10 [7.5, 12.0] months, p = 0.007) and were more likely to undergo ablation (4/19 vs. 2/71, p = 0.017). In this cohort of infants with SVT, readmission was common and ventricular pre-excitation was identified as a risk factor for readmission. Infants who were readmitted within 31 days of discharge had longer length of antiarrhythmic therapy and were more likely to undergo catheter ablation."
35412882,Forward and backward spatial recall in Parkinson's disease and matched controls: A 1-year follow-up study.,Ari Alex Ramos; Anthony Garvey; Nicholas J Cutfield; Liana Machado,Applied neuropsychology. Adult,2022,2024,"Patients with Parkinson's disease (PD) exhibit a domain-general visuospatial dysfunction; however, no previous study has examined changes over time in forward and backward spatial recall in PD against controls. To evaluate changes in short-term (STM) and working memory (WM) dysfunction in PD, the current study assessed performance on a computer-modified version of the Corsi Block-Tapping Test (forward and backward recall) at two-time points 1 year apart, while simultaneously exploring associations with potentially relevant demographic and clinical variables. We enrolled 38 patients with PD and 38 controls matched for age, sex, and Montreal Cognitive Assessment (MoCA) total scores. Linear mixed-effects models analyzed the primary measured variables (forward and backward scores). At baseline, the dysfunction effect sizes were as follows: forward recall (-0.45, 95% CI [-0.90, 0.01]) and backward recall (-0.26, 95% CI [-0.71, 0.19]). At follow-up, patients exhibited substantially greater difficulties in backward recall (-0.65, 95% CI [-1.18, -0.13]) compared to the baseline assessment, whereas the forward dysfunction effect size remained almost the same (-0.43, 95% CI [-0.94, 0.09]). Age (<i>p</i> = .005, <i>f</i> = 0.35) and total scores on MoCA (<i>p</i> = .017, <i>f</i> = 0.18), irrespective of group and recall condition, were significant predictors of spatial block scores. The pattern of dysfunction effect sizes indicates that, in contrast to forward recall, backward recall dysfunction in PD worsened 1-year after the baseline assessment, presumably reflecting the progression of PD-related visuospatial WM dysfunction."
37464816,Cystathionine β-Synthase Suppresses NLRP3 Inflammasome Activation <i>via</i> Redox Regulation in Microglia.,Yu-Jie Mou; Ya-Ting Ma; Xin Yuan; Miao Wang; Yang Liu; Chong-Shuang Pei; Chun-Feng Liu; Xiao-Ou Hou; Li-Fang Hu,Antioxidants & redox signaling,2023,2026,"Cystathionine β-synthase (CBS) is essential for homocysteine (Hcy) transsulfuration, yielding cysteine as a common precursor of hydrogen sulfide (H<sub>2</sub>S), glutathione (GSH), and other sulfur molecules, which produce neuroprotective effects in neurological conditions. We previously reported a disruption of microglial CBS/H<sub>2</sub>S signaling in a Parkinson's disease (PD) mouse model. Yet, it remains unclear whether CBS affects nucleotide-binding oligomerization domain, leucine-rich repeat and pyrin domain-containing 3 (NLRP3) inflammasome activity and other pathologies in PD. Microglial CBS expression decreased after lipopolysaccharide (LPS) stimulation. Elevated GSSG (the oxidized GSH) content and decreased H<sub>2</sub>S generation were found in the brains of microglial <i>cbs</i> conditional-knockout (<i>cbs</i> <sup>cKO</sup>) mice, whereas serum and brain Hcy levels remained unaltered. Moreover, microglial <i>cbs</i> <sup>cKO</sup> mice were susceptible to NLRP3 inflammasome activation and dopaminergic neuron losses caused by LPS injection into the substantia nigra, whereas <i>cbs</i> overexpression or activation produced opposite effects. <i>In vitro</i> studies showed that <i>cbs</i> overexpression or activation suppressed microglial NLRP3 inflammasome activation and interleukin (IL)-1β secretion by reducing mitochondrial reactive oxygen species (mitoROS) level. Conversely, ablation of <i>cbs</i> enhanced NLRP3 expression and mitoROS generation and augmented microglial NLRP3 inflammasome activity in response to adenosine triphosphate challenge, which was blocked by the mitoROS scavenger. The study demonstrated an elevated GSSG level and reduced H<sub>2</sub>S generation, which correlated with a susceptible status of microglia in the brain of <i>cbs</i> <sup>cKO</sup> mice. Our findings reveal a critical role of CBS in restraining the microglial NLRP3 inflammasome by controlling redox homeostasis and highlight that activation or upregulation of CBS may become a potential strategy for PD treatment."
38050868,Evaluation of Post-Swallow Residue with Visual Analysis of Swallowing Efficiency and Safety in Patients with Idiopathic Parkinson's Disease.,Can Doruk; Berkay Çaytemel; Erdi Şahin; Hakan Kara; Bedia Samancı; Sevinç Nisa Abay; Başar Bilgiç; Haşmet Hanağası; Bora Başaran; Necati Enver; Anais Rameau,"Ear, nose, & throat journal",2023,2026,"<b>Objectives:</b> Dysphagia is common in idiopathic Parkinson's disease (IPD) and is associated with impairments in both swallowing safety and swallowing efficiency. The goals of this study were to define post-swallow residue patterns in people with IPD and describe pathophysiological endoscopic findings affecting residue accumulation. <b>Methods:</b> This was a prospective single-blinded cross-sectional cohort study of patients with the diagnosis of IPD recruited from a Movement Disorder Clinic. Clinical variables included patient age, cognitive function, and measures of disease severity, and laryngoscopic examinations with a flexible endoscopic evaluation of swallowing (FEES) were completed for each patient. Visual Analysis of Swallowing Efficiency and Safety (VASES) was used to analyze FEES. Post-swallow residue outcomes and non-residue endoscopic outcomes including the Bowing index, Penetration Aspiration Scale (PAS) score, premature leakage, and build-up phenomenon were evaluated. Multiple regression models were used to evaluate factors affecting the residue at different anatomic levels. <b>Results:</b> Overall 53 patients completed the study. The multiple regression analyses showed a relation between (1) the presence of residue at the level of oropharynx and epiglottis with premature leakage, (2) the presence of residue at the level of the laryngeal vestibule and vocal folds with build-up phenomenon, and (3) the presence of residue at the level of the hypopharynx, laryngeal vestibule, and subglottis with airway invasion. <b>Conclusion:</b> Residue pattern during FEES is associated with specific swallow dysfunctions in IPD. Using residue localization and quantification may be a helpful tool in assessing the impact of targeted swallowing interventions in patients with IPD and dysphagia."
37338307,Hydrogen sulfide signalling in neurodegenerative diseases.,Sunil Jamuna Tripathi; Suwarna Chakraborty; Emiko Miller; Andrew A Pieper; Bindu D Paul,British journal of pharmacology,2023,2026,"The gaseous neurotransmitter hydrogen sulfide (H<sub>2</sub>S) exerts neuroprotective efficacy in the brain via post-translational modification of cysteine residues by sulfhydration, also known as persulfidation. This process is comparable in biological impact to phosphorylation and mediates a variety of signalling events. Unlike conventional neurotransmitters, H<sub>2</sub>S cannot be stored in vesicles due to its gaseous nature. Instead, it is either locally synthesized or released from endogenous stores. Sulfhydration affords both specific and general neuroprotective effects and is critically diminished in several neurodegenerative disorders. Conversely, some forms of neurodegenerative disease are linked to excessive cellular H<sub>2</sub>S. Here, we review the signalling roles of H<sub>2</sub>S across the spectrum of neurodegenerative diseases, including Huntington's disease, Parkinson's disease, Alzheimer's disease, Down syndrome, traumatic brain injury, the ataxias, and amyotrophic lateral sclerosis, as well as neurodegeneration generally associated with ageing. LINKED ARTICLES: This article is part of a themed issue Recent Innovations in Targeting Redox Biology for Therapeutics. To view the other articles in this section visit http://onlinelibrary.wiley.com/doi/10.1111/bph.v183.1/issuetoc."
